partij_nummer,datum,partij_type,geladen_cactag6,geladen_bleche,gelost_cactag6,gelost_bleche
738,2025-05-01,klant,8,18,4,11
739,2025-04-10,klant,4,4,4,4
744,2025-02-26,klant,0,0,7,21
744,2025-03-19,klant,2,7,2,7
744,2025-05-02,klant,14,42,7,21
745,2025-04-10,klant,6,16,6,16
748,2025-03-19,klant,5,9,5,9
748,2025-04-09,klant,2,4,2,4
754,2025-02-18,klant,16,26,16,26
755,2025-03-14,klant,6,19,6,19
755,2025-03-24,klant,3,3,3,3
756,2025-02-18,klant,8,14,8,14
762,2025-03-04,klant,8,20,15,20
762,2025-04-07,klant,0,0,2,1
762,2025-07-16,klant,9,1,0,0
763,2025-03-04,klant,0,0,12,19
763,2025-03-25,klant,12,19,1,3
763,2025-04-10,klant,0,0,6,14
763,2025-04-28,klant,7,17,1,3
763,2025-05-22,klant,0,0,4,5
763,2025-07-16,klant,8,12,0,0
763,2025-09-17,klant,0,0,2,4
776,2025-03-20,klant,8,18,8,18
793,2025-03-17,klant,5,7,5,7
793,2025-03-18,klant,2,4,2,4
795,2025-03-04,klant,4,3,4,3
800,2025-03-19,klant,8,17,8,17
801,2025-03-04,klant,16,18,16,18
801,2025-04-01,klant,3,5,3,5
805,2025-04-01,klant,13,17,13,17
877,2025-03-24,klant,6,11,6,11
877,2025-04-10,klant,0,0,2,7
882,2025-03-05,klant,2,2,2,2
882,2025-04-24,klant,0,0,3,8
882,2025-07-24,klant,3,8,0,0
885,2025-03-25,klant,7,10,7,10
885,2025-09-18,klant,0,0,2,3
885,2025-10-23,klant,6,9,4,6
887,2025-03-18,klant,0,0,9,21
887,2025-03-20,klant,0,0,1,2
887,2025-04-10,klant,0,0,2,3
887,2025-05-22,klant,0,0,2,4
887,2025-07-16,klant,14,30,0,0
896,2025-02-18,klant,12,26,8,13
908,2025-03-18,klant,3,6,3,6
908,2025-04-01,klant,1,2,1,2
912,2025-03-18,klant,0,0,13,9
912,2025-03-19,klant,15,15,2,3
912,2025-04-11,klant,0,0,8,14
912,2025-05-02,klant,15,24,7,13
912,2025-09-18,klant,0,0,12,13
915,2025-05-02,klant,5,8,5,8
917,2025-03-12,klant,3,2,3,2
917,2025-04-24,klant,0,0,3,5
920,2025-02-28,klant,8,14,8,14
920,2025-10-01,klant,0,0,2,6
922,2025-03-03,klant,6,12,6,12
923,2025-03-20,klant,6,10,6,10
933,2025-04-03,klant,7,15,7,15
934,2025-04-01,klant,0,0,3,7
934,2025-04-10,klant,3,7,3,7
934,2025-10-24,klant,4,9,1,2
958,2025-07-23,klant,6,13,4,7
969,2025-03-27,klant,3,9,3,9
983,2025-03-05,klant,7,2,7,2
983,2025-03-11,klant,7,10,7,10
983,2025-04-09,klant,0,0,1,2
983,2025-05-03,klant,4,7,3,5
992,2025-05-26,klant,0,0,4,10
992,2025-07-25,klant,4,10,0,0
995,2025-02-18,klant,10,12,10,12
995,2025-04-10,klant,0,0,3,7
995,2025-07-17,klant,3,7,0,0
998,2025-03-11,klant,6,11,6,11
998,2025-04-09,klant,0,0,1,1
